id,landmark_id,conf
000b85kx5d,846,0.99998176
002msp5aqm,7,0.9971373
003pjobcd8,378,0.9996456
006r4lemjl,252,0.9998159
007kjoke4f,809,0.63516915
0095f6yxlp,298,0.9999546
00d0cs63ij,559,0.6019
00dzlxoxek,512,0.9996124
00e5v02waq,740,0.9990478
00ev2f0mk7,340,0.964651
00ez51vcp0,749,0.99659497
00gf2lfy8b,598,0.9999651
00gf7hvn5x,983,0.42857274
00i98oi0ds,749,0.7032532
00ibtcvsv9,290,0.9991366
00j9bqg5fn,610,0.94172883
00lhl7yd94,837,0.98207515
00n329adje,78,0.9974795
00ocntddqp,64,0.99812776
00p39s507n,928,0.9997669
00qu43ip9i,603,0.9996271
00vb1cu3cp,388,0.9992175
00xar4kha6,119,0.99779093
00yhgypuhf,1040,0.99898285
00zrqw17ia,234,0.99958724
00zxdrqetr,877,0.99985766
00zzlxgwq2,626,0.99976736
010u3p31by,903,0.9761998
011b3jqhzv,1038,0.99642617
011oaszenj,753,0.9988116
0126770i6j,758,0.83154917
014o5sptyx,566,0.566789
014y8y5vbt,788,0.99997365
016p30kzc4,345,0.9999932
017g9qwyjc,480,0.9849941
017nsya60t,488,0.9919498
017ynivyf9,653,0.6796423
019vtpz7og,148,0.99995685
01bt8swlnk,853,0.9999944
01dzp2ggzj,759,0.9995851
01e4zgkhir,696,0.999595
01ejfn81pg,329,0.9999964
01ejz0grwu,279,0.99999917
01eyripiwr,630,0.9866398
01gihw9cbm,934,0.99801683
01i96hilyk,581,0.9999968
01nog1c29c,1036,0.99946123
01rflotf4m,72,0.9999906
01ttct5ypk,536,0.999926
01uezd7br0,946,0.8926103
01ujvmxlzh,820,0.9999857
01ummc8z80,64,0.99925035
01x1qtvmqk,497,0.99979395
01xgc3uiax,705,0.98974085
01ygagglrr,985,0.9853367
01zjv5vkg0,355,0.9427947
021j47gfr7,346,0.99946254
021xecl039,860,0.9983138
023cc7gz9d,871,0.99856853
023jxcd6jx,835,0.93551296
023wveiy9y,569,0.9996419
02574x3009,602,0.9999912
025kiiok39,1044,0.99859315
027p3n9lrx,53,0.99965894
027vbiuwww,631,0.9998573
028vykrn8y,353,0.9995877
02d2tth10x,86,0.98286575
02dj5vct6n,469,0.9999877
02jb0zd0op,1040,0.99102205
02ki4zv0ou,506,0.9448686
02klg7k8ql,694,0.9996599
02mc21gr0v,774,0.9995326
02murnyn1q,590,0.99999833
02nazecwm4,962,0.99987984
02nc41wscd,1020,0.9981331
02nxdusumg,30,0.99948066
02nzzqhoe0,605,0.9760356
02oq5kfkbx,210,0.99797076
