id,landmark_id,conf
000b85kx5d,846,0.99986887
002msp5aqm,7,0.99879444
003pjobcd8,378,0.9976561
006r4lemjl,252,0.99017805
007kjoke4f,809,0.9992225
0095f6yxlp,298,0.999635
00d0cs63ij,559,0.9665756
00dzlxoxek,512,0.998019
00e5v02waq,740,0.9991074
00ev2f0mk7,340,0.9965519
00ez51vcp0,749,0.9992531
00gf2lfy8b,598,0.9999553
00gf7hvn5x,391,0.7860825
00i98oi0ds,749,0.99550194
00ibtcvsv9,290,0.99765223
00j9bqg5fn,610,0.998108
00lhl7yd94,837,0.9996253
00n329adje,78,0.99840885
00ocntddqp,64,0.9995919
00p39s507n,928,0.9999213
00qu43ip9i,603,0.9974221
00vb1cu3cp,388,0.98689926
00xar4kha6,119,0.9999827
00yhgypuhf,1040,0.99937856
00zrqw17ia,234,0.99836653
00zxdrqetr,877,0.9995414
00zzlxgwq2,626,0.99932384
010u3p31by,903,0.9573739
011b3jqhzv,1038,0.99984634
011oaszenj,753,0.99991393
0126770i6j,758,0.9913935
014o5sptyx,713,0.7784218
014y8y5vbt,788,0.9989429
016p30kzc4,345,0.99998045
017g9qwyjc,480,0.9978847
017nsya60t,488,0.9881393
017ynivyf9,462,0.33623606
019vtpz7og,148,0.99999905
01bt8swlnk,853,0.99997616
01dzp2ggzj,759,0.99983037
01e4zgkhir,696,0.99896014
01ejfn81pg,329,0.9993544
01ejz0grwu,279,0.99845076
01eyripiwr,630,0.9996538
01gihw9cbm,934,0.99993134
01i96hilyk,581,0.9924501
01nog1c29c,1036,0.99991083
01rflotf4m,72,0.99998105
01ttct5ypk,536,0.9999565
01uezd7br0,946,0.9784661
01ujvmxlzh,820,0.998214
01ummc8z80,64,0.9394611
01x1qtvmqk,497,0.98180676
01xgc3uiax,705,0.99871886
01ygagglrr,985,0.9919594
01zjv5vkg0,355,0.46054187
021j47gfr7,346,0.9995111
021xecl039,860,0.99997246
023cc7gz9d,871,0.9970771
023jxcd6jx,835,0.99727374
023wveiy9y,569,0.9940813
02574x3009,602,0.99999714
025kiiok39,1044,0.9975561
027p3n9lrx,53,0.99895895
027vbiuwww,631,0.9999924
028vykrn8y,353,0.99953854
02d2tth10x,86,0.9286125
02dj5vct6n,469,0.999946
02jb0zd0op,1040,0.9999057
02ki4zv0ou,995,0.6766789
02klg7k8ql,694,0.9999726
02mc21gr0v,774,0.9997526
02murnyn1q,590,0.99811673
02nazecwm4,962,0.99984765
02nc41wscd,1020,0.9986719
02nxdusumg,30,0.9999949
02nzzqhoe0,605,0.9981123
02oq5kfkbx,210,0.9998275
02oyel6qx0,206,0.98703915
02pfsyh5k7,265,0.9995577
02pmedlzya,577,0.99998367
02qmd1lzl2,305,0.9175711
02tlwe8eoc,635,0.999356
02ub9rpi31,29,0.81974083
02ugtg8ou5,336,0.9999783
02wiwgjztx,754,0.9995956
02x2iodz0l,983,0.9999651
02yf713k7v,130,0.9981065
02zibrgcuv,392,0.99977976
02zih9c22e,520,0.99949586
03123sl42g,575,0.999102
032nteft5g,400,0.9984571
0346shf8nq,134,0.99723995
0348052x8s,816,0.99987197
034cc3q306,535,0.99982315
038eyo6uji,454,0.99943465
039wojnh9k,386,0.8475114
039y0uow55,826,0.99012625
03a1cb4zps,618,0.99987245
03a29orm3b,359,0.99956447
03d8i8uhm1,427,0.99935716
03f7thqyxg,902,0.88373816
03fj32gyv1,874,0.999982
03geu18krf,190,0.9999391
